term,label,ontology_group,permutation_importance_mean,permutation_importance_std,mdi_importance
profile_cat__profile_cat_employment_type_Student,Employment Type Student,Socioeconomic Status: Employment,-8.881784197001253e-18,3.011959563148489e-17,0.0
profile_cat__profile_cat_platform_primary_type_Twitter_X_Dominant,Platform Primary Type Twitter X Dominant,Social Context: Online Behavior,-1.1102230246251566e-17,3.3306690738754695e-17,0.0
profile_cat__profile_cat_employment_type_Employed_Full_Time,Employment Type Employed Full Time,Socioeconomic Status: Employment,-1.3322676295501878e-17,3.607797795906347e-17,0.0
profile_cat__profile_cat_platform_primary_type_YouTube_Dominant,Platform Primary Type Youtube Dominant,Social Context: Online Behavior,-1.3322676295501878e-17,3.607797795906347e-17,0.0
profile_cat__profile_cat_employment_type_Other_Inactive,Employment Type Other Inactive,Socioeconomic Status: Employment,-1.3322676295501878e-17,3.607797795906347e-17,0.0
profile_cat__profile_cat_education_level_Master_Equivalent,Education Level Master Equivalent,Demographics: Education,-1.5543122344752193e-17,3.85232991570949e-17,0.0
profile_cat__profile_cat_news_diet_primary_type_Broadcast_Radio_Dominant,News Diet Primary Type Broadcast Radio Dominant,Demographics: News Diet,-1.7763568394002505e-17,4.0701448389020804e-17,0.0
profile_cat__profile_cat_platform_primary_type_Facebook_Dominant,Platform Primary Type Facebook Dominant,Social Context: Online Behavior,-1.7763568394002505e-17,4.0701448389020804e-17,0.0
profile_cat__profile_cat_education_level_Bachelor_Equivalent,Education Level Bachelor Equivalent,Demographics: Education,-2.2204460492503132e-17,4.4408920985006264e-17,0.0
profile_cat__profile_cat_news_diet_primary_type_Messaging_App_And_Forwarded_Content_Dominant,News Diet Primary Type Messaging App And Forwarded Content Dominant,Demographics: News Diet,-2.4424906541753444e-17,4.599057840605876e-17,0.0
profile_cat__profile_cat_employment_type_Retired,Employment Type Retired,Socioeconomic Status: Employment,-5.3211540687025936e-05,0.00022419190429640487,0.0005677880837301152
